Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Data_origen
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,0
152,CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.76599999999999,0
153,CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.23879999999999,0
495,US-2016-120929,2016-03-18,2016-03-21,Second Class,RO-19780,Rose O'Brian,Consumer,United States,Memphis,Tennessee,38109,South,FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,189.882,3,0.4,-94.94100000000002,0
590,US-2016-156986,2016-03-20,2016-03-24,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Salem,Oregon,97301,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,20.736000000000004,4,0.2,7.2576,0
664,CA-2016-123666,2016-03-26,2016-03-30,Standard Class,SP-20545,Sibella Parks,Corporate,United States,New York City,New York,10011,East,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",459.95,5,0.0,18.397999999999968,0
749,CA-2016-150889,2016-03-20,2016-03-22,Second Class,PB-19105,Peter Bühler,Consumer,United States,Evanston,Illinois,60201,Central,TEC-PH-10000004,Technology,Phones,Belkin iPhone and iPad Lightning Cable,11.992,1,0.2,0.8993999999999991,0
920,CA-2016-165218,2016-03-05,2016-03-11,Standard Class,RW-19630,Rob Williams,Corporate,United States,Dallas,Texas,75220,Central,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,12.991999999999999,1,0.2,-0.8119999999999998,0
1048,CA-2016-169103,2016-03-08,2016-03-13,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Miami,Florida,33142,South,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.35999999999999,3,0.2,-3.8385000000000105,0
1084,US-2016-143819,2016-03-01,2016-03-05,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,10701,East,OFF-PA-10003127,Office Supplies,Paper,Easy-staple paper,26.38,1,0.0,12.134799999999998,0
1085,US-2016-143819,2016-03-01,2016-03-05,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,10701,East,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,362.92,2,0.0,105.24679999999995,0
1086,US-2016-143819,2016-03-01,2016-03-05,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,10701,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,4899.93,7,0.0,2400.9656999999997,0
1328,CA-2016-128258,2016-03-30,2016-04-01,First Class,CP-12085,Cathy Prescott,Corporate,United States,Norwich,Connecticut,6360,East,OFF-PA-10004156,Office Supplies,Paper,Xerox 188,11.34,1,0.0,5.5565999999999995,0
1352,CA-2016-162901,2016-03-28,2016-03-31,First Class,AS-10045,Aaron Smayling,Corporate,United States,Arlington,Virginia,22204,South,OFF-ST-10000649,Office Supplies,Storage,Hanging Personal Folder File,31.4,2,0.0,7.850000000000001,0
1615,US-2016-113509,2016-03-15,2016-03-19,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Philadelphia,Pennsylvania,19143,East,TEC-AC-10004855,Technology,Accessories,V7 USB Numeric Keypad,83.97600000000001,3,0.2,-13.6461,0
1705,CA-2016-106306,2016-03-08,2016-03-08,Same Day,PG-18820,Patrick Gardner,Consumer,United States,Glendale,Arizona,85301,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",9.702000000000002,3,0.7,-7.114799999999999,0
1876,US-2016-112977,2016-03-10,2016-03-16,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Long Beach,New York,11561,East,FUR-BO-10003272,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,176.784,1,0.2,-22.098000000000013,0
2366,US-2016-108637,2016-03-13,2016-03-18,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,22980,South,OFF-BI-10004965,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,46.0,4,0.0,20.7,0
2759,CA-2016-146171,2016-03-11,2016-03-15,Standard Class,JP-16135,Julie Prescott,Home Office,United States,Columbus,Georgia,31907,South,FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",76.92,4,0.0,31.537200000000006,0
2853,CA-2016-136371,2016-03-19,2016-03-21,Second Class,SV-20935,Susan Vittorini,Consumer,United States,Oceanside,New York,11572,East,FUR-FU-10000409,Furniture,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",14.98,1,0.0,6.8908000000000005,0
3030,US-2016-164189,2016-03-24,2016-03-28,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Gresham,Oregon,97030,West,TEC-PH-10003691,Technology,Phones,BlackBerry Q10,403.168,4,0.2,25.198000000000008,0
3091,CA-2016-112123,2016-03-03,2016-03-08,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Newark,Delaware,19711,East,OFF-BI-10001071,Office Supplies,Binders,GBC ProClick Punch Binding System,447.85999999999996,7,0.0,219.4514,0
3093,CA-2016-112123,2016-03-03,2016-03-08,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Newark,Delaware,19711,East,OFF-PA-10001977,Office Supplies,Paper,Xerox 194,166.44,3,0.0,79.8912,0
3159,US-2016-162677,2016-03-26,2016-03-27,First Class,DB-13210,Dean Braden,Consumer,United States,Jacksonville,North Carolina,28540,South,OFF-ST-10001291,Office Supplies,Storage,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",67.64,5,0.2,5.918499999999998,0
3160,US-2016-162677,2016-03-26,2016-03-27,First Class,DB-13210,Dean Braden,Consumer,United States,Jacksonville,North Carolina,28540,South,TEC-AC-10001314,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,119.97600000000001,3,0.2,-17.99640000000002,0
